,state,county,candidate,party,total_votes_x,won,total_votes_y
293,Florida,Holmes County,Gloria La Riva,PSL,1,False,11067456
294,Florida,Indian River County,Donald Trump,REP,58872,True,11067456
295,Florida,Indian River County,Joe Biden,DEM,37844,False,11067456
296,Florida,Indian River County,Jo Jorgensen,LIB,534,False,11067456
297,Florida,Indian River County,Howie Hawkins,GRN,117,False,11067456
298,Florida,Indian River County,Rocky De La Fuente,ALI,43,False,11067456
299,Florida,Indian River County,Don Blankenship,CST,38,False,11067456
300,Florida,Indian River County,Gloria La Riva,PSL,33,False,11067456
301,Florida,Indian River County, Write-ins,WRI,3,False,11067456
302,Florida,Jackson County,Donald Trump,REP,15488,True,11067456
303,Florida,Jackson County,Joe Biden,DEM,6766,False,11067456
304,Florida,Jackson County,Jo Jorgensen,LIB,116,False,11067456
305,Florida,Jackson County,Rocky De La Fuente,ALI,13,False,11067456
306,Florida,Jackson County,Howie Hawkins,GRN,13,False,11067456
307,Florida,Jackson County,Gloria La Riva,PSL,13,False,11067456
308,Florida,Jackson County,Don Blankenship,CST,5,False,11067456
309,Florida,Jackson County, Write-ins,WRI,5,False,11067456
310,Florida,Jefferson County,Donald Trump,REP,4479,True,11067456
311,Florida,Jefferson County,Joe Biden,DEM,3897,False,11067456
312,Florida,Jefferson County,Jo Jorgensen,LIB,46,False,11067456
313,Florida,Jefferson County,Howie Hawkins,GRN,13,False,11067456
314,Florida,Jefferson County,Don Blankenship,CST,5,False,11067456
315,Florida,Jefferson County,Rocky De La Fuente,ALI,4,False,11067456
316,Florida,Jefferson County,Gloria La Riva,PSL,4,False,11067456
317,Florida,Jefferson County, Write-ins,WRI,3,False,11067456
318,Florida,Lafayette County,Donald Trump,REP,3128,True,11067456
319,Florida,Lafayette County,Joe Biden,DEM,510,False,11067456
320,Florida,Lafayette County,Jo Jorgensen,LIB,14,False,11067456
321,Florida,Lafayette County,Don Blankenship,CST,2,False,11067456
322,Florida,Lafayette County,Howie Hawkins,GRN,2,False,11067456
323,Florida,Lafayette County,Rocky De La Fuente,ALI,1,False,11067456
324,Florida,Lafayette County,Gloria La Riva,PSL,1,False,11067456
325,Florida,Lake County,Donald Trump,REP,125859,True,11067456
326,Florida,Lake County,Joe Biden,DEM,83505,False,11067456
327,Florida,Lake County,Jo Jorgensen,LIB,1385,False,11067456
328,Florida,Lake County,Howie Hawkins,GRN,254,False,11067456
329,Florida,Lake County,Rocky De La Fuente,ALI,120,False,11067456
330,Florida,Lake County,Gloria La Riva,PSL,96,False,11067456
331,Florida,Lake County,Don Blankenship,CST,79,False,11067456
332,Florida,Lake County, Write-ins,WRI,16,False,11067456
333,Florida,Lee County,Donald Trump,REP,233247,True,11067456
334,Florida,Lee County,Joe Biden,DEM,157695,False,11067456
335,Florida,Lee County,Jo Jorgensen,LIB,2016,False,11067456
336,Florida,Lee County,Howie Hawkins,GRN,440,False,11067456
337,Florida,Lee County,Rocky De La Fuente,ALI,187,False,11067456
338,Florida,Lee County,Gloria La Riva,PSL,176,False,11067456
339,Florida,Lee County,Don Blankenship,CST,121,False,11067456
340,Florida,Lee County, Write-ins,WRI,17,False,11067456
341,Florida,Leon County,Joe Biden,DEM,103517,True,11067456
342,Florida,Leon County,Donald Trump,REP,57453,False,11067456
343,Florida,Leon County,Jo Jorgensen,LIB,1344,False,11067456
344,Florida,Leon County,Howie Hawkins,GRN,271,False,11067456
345,Florida,Leon County,Gloria La Riva,PSL,122,False,11067456
346,Florida,Leon County,Rocky De La Fuente,ALI,98,False,11067456
347,Florida,Leon County,Don Blankenship,CST,71,False,11067456
348,Florida,Leon County, Write-ins,WRI,53,False,11067456
349,Florida,Levy County,Donald Trump,REP,16749,True,11067456
350,Florida,Levy County,Joe Biden,DEM,6205,False,11067456
351,Florida,Levy County,Jo Jorgensen,LIB,131,False,11067456
352,Florida,Levy County,Howie Hawkins,GRN,25,False,11067456
353,Florida,Levy County,Rocky De La Fuente,ALI,14,False,11067456
354,Florida,Levy County,Don Blankenship,CST,13,False,11067456
355,Florida,Levy County,Gloria La Riva,PSL,7,False,11067456
356,Florida,Levy County, Write-ins,WRI,1,False,11067456
357,Florida,Liberty County,Donald Trump,REP,2846,True,11067456
358,Florida,Liberty County,Joe Biden,DEM,694,False,11067456
359,Florida,Liberty County,Jo Jorgensen,LIB,14,False,11067456
360,Florida,Liberty County,Rocky De La Fuente,ALI,2,False,11067456
361,Florida,Liberty County,Howie Hawkins,GRN,2,False,11067456
362,Florida,Liberty County,Gloria La Riva,PSL,2,False,11067456
363,Florida,Liberty County,Don Blankenship,CST,1,False,11067456
364,Florida,Madison County,Donald Trump,REP,5576,True,11067456
365,Florida,Madison County,Joe Biden,DEM,3747,False,11067456
366,Florida,Madison County,Jo Jorgensen,LIB,32,False,11067456
367,Florida,Madison County,Howie Hawkins,GRN,13,False,11067456
368,Florida,Madison County,Don Blankenship,CST,5,False,11067456
369,Florida,Madison County,Gloria La Riva,PSL,4,False,11067456
370,Florida,Madison County,Rocky De La Fuente,ALI,3,False,11067456
371,Florida,Madison County, Write-ins,WRI,0,False,11067456
372,Florida,Manatee County,Donald Trump,REP,124987,True,11067456
373,Florida,Manatee County,Joe Biden,DEM,90166,False,11067456
374,Florida,Manatee County,Jo Jorgensen,LIB,1287,False,11067456
375,Florida,Manatee County,Howie Hawkins,GRN,258,False,11067456
376,Florida,Manatee County,Rocky De La Fuente,ALI,96,False,11067456
377,Florida,Manatee County,Gloria La Riva,PSL,78,False,11067456
378,Florida,Manatee County,Don Blankenship,CST,69,False,11067456
379,Florida,Manatee County, Write-ins,WRI,17,False,11067456
380,Florida,Marion County,Donald Trump,REP,127826,True,11067456
381,Florida,Marion County,Joe Biden,DEM,74858,False,11067456
382,Florida,Marion County,Jo Jorgensen,LIB,1180,False,11067456
383,Florida,Marion County,Howie Hawkins,GRN,228,False,11067456
384,Florida,Marion County,Gloria La Riva,PSL,98,False,11067456
385,Florida,Marion County,Rocky De La Fuente,ALI,91,False,11067456
386,Florida,Marion County,Don Blankenship,CST,80,False,11067456
387,Florida,Marion County, Write-ins,WRI,15,False,11067456
